"epoch","model: xcit_large_12_p16_224 - _step","model: xcit_large_12_p16_224 - _step__MIN","model: xcit_large_12_p16_224 - _step__MAX","xcit_large_12_p16_224","model: xcit_large_12_p16_224 - eval_robust_top1__MIN","model: xcit_large_12_p16_224 - eval_robust_top1__MAX","model: xcit_medium_12_p16_224 - _step","model: xcit_medium_12_p16_224 - _step__MIN","model: xcit_medium_12_p16_224 - _step__MAX","xcit_medium_12_p16_224","model: xcit_medium_12_p16_224 - eval_robust_top1__MIN","model: xcit_medium_12_p16_224 - eval_robust_top1__MAX","model: xcit_small_12_p16_224 - _step","model: xcit_small_12_p16_224 - _step__MIN","model: xcit_small_12_p16_224 - _step__MAX","xcit_small_12_p16_224","model: xcit_small_12_p16_224 - eval_robust_top1__MIN","model: xcit_small_12_p16_224 - eval_robust_top1__MAX"
"0","0","0","0","0.015984654426574707","0.015984654426574707","0.015984654426574707","0","0","0","0.04097889922559261","0.03799999877810478","0.043957799673080444","0","0","0","0","0","0"
"1","1","1","1","3.43070650100708","3.43070650100708","3.43070650100708","1","1","1","2.635656237602234","2.4719998836517334","2.7993125915527344","1","1","1","2.503596544265747","2.503596544265747","2.503596544265747"
"2","2","2","2","9.550830841064453","9.550830841064453","9.550830841064453","2","2","2","7.042346715927124","6.473999977111816","7.610693454742432","2","2","2","7.083199977874756","7.083199977874756","7.083199977874756"
"3","3","3","3","16.787883758544922","16.787883758544922","16.787883758544922","3","3","3","12.113804340362549","11.319999694824219","12.907608985900879","3","3","3","12.482017517089844","12.482017517089844","12.482017517089844"
"4","4","4","4","21.603260040283203","21.603260040283203","21.603260040283203","4","4","4","16.804444313049316","15.785999298095703","17.82288932800293","4","4","4","16.959718704223633","16.959718704223633","16.959718704223633"
"5","5","5","5","24.9840145111084","24.9840145111084","24.9840145111084","5","5","5","20.53171443939209","19.63599967956543","21.42742919921875","5","5","5","20.656169891357422","20.656169891357422","20.656169891357422"
"6","6","6","6","27.82328987121582","27.82328987121582","27.82328987121582","6","6","6","23.490422248840332","22.86199951171875","24.118844985961914","6","6","6","23.04387855529785","23.04387855529785","23.04387855529785"
"7","7","7","7","29.247920989990234","29.247920989990234","29.247920989990234","7","7","7","25.10170555114746","24.591999053955078","25.611412048339844","7","7","7","24.1588077545166","24.1588077545166","24.1588077545166"
"8","8","8","8","30.139066696166992","30.139066696166992","30.139066696166992","8","8","8","26.5730037689209","26.071998596191406","27.07400894165039","8","8","8","25.79723358154297","25.79723358154297","25.79723358154297"
"9","9","9","9","30.482736587524414","30.482736587524414","30.482736587524414","9","9","9","27.049945831298828","26.90399932861328","27.195892333984375","9","9","9","25.881153106689453","25.881153106689453","25.881153106689453"
"10","10","10","10","31.150094985961914","31.150094985961914","31.150094985961914","10","10","10","27.972517013549805","27.855998992919922","28.089035034179688","10","10","10","26.334718704223633","26.334718704223633","26.334718704223633"
"11","11","11","11","31.629634857177734","31.629634857177734","31.629634857177734","11","11","11","28.762269973754883","28.602540969848633","28.921998977661133","11","11","11","27.054027557373047","27.054027557373047","27.054027557373047"
"12","12","12","12","32.62068557739258","32.62068557739258","32.62068557739258","12","12","12","29.478564262390137","28.881999969482422","30.07512855529785","12","12","12","27.97913932800293","27.97913932800293","27.97913932800293"
"13","13","13","13","33.517822265625","33.517822265625","33.517822265625","13","13","13","30.480202674865723","30.13399887084961","30.826406478881836","13","13","13","28.392742156982422","28.392742156982422","28.392742156982422"
"14","14","14","14","33.665679931640625","33.665679931640625","33.665679931640625","14","14","14","30.80000877380371","30.369998931884766","31.230018615722656","14","14","14","29.136028289794922","29.136028289794922","29.136028289794922"
"15","15","15","15","34.38499069213867","34.38499069213867","34.38499069213867","15","15","15","31.07105541229248","31.009998321533203","31.132112503051758","15","15","15","29.44373321533203","29.44373321533203","29.44373321533203"
"16","16","16","16","34.726661682128906","34.726661682128906","34.726661682128906","16","16","16","31.601624488830566","31.170000076293945","32.03324890136719","16","16","16","29.44972801208496","29.44972801208496","29.44972801208496"
"17","17","17","17","35.250160217285156","35.250160217285156","35.250160217285156","17","17","17","31.920653343200684","31.869998931884766","31.9713077545166","17","17","17","30.017183303833008","30.017183303833008","30.017183303833008"
"18","18","18","18","35.288124084472656","35.288124084472656","35.288124084472656","18","18","18","32.4572811126709","32.16999816894531","32.744564056396484","18","18","18","30.488731384277344","30.488731384277344","30.488731384277344"
"19","19","19","19","36.161285400390625","36.161285400390625","36.161285400390625","19","19","19","32.67315673828125","32.34199905395508","33.00431442260742","19","19","19","30.76446533203125","30.76446533203125","30.76446533203125"
"20","20","20","20","36.07936477661133","36.07936477661133","36.07936477661133","20","20","20","32.863101959228516","32.60599899291992","33.12020492553711","20","20","20","30.97626304626465","30.97626304626465","30.97626304626465"
"21","21","21","21","36.660804748535156","36.660804748535156","36.660804748535156","21","21","21","33.18394660949707","32.922000885009766","33.445892333984375","21","21","21","31.509750366210938","31.509750366210938","31.509750366210938"
"22","22","22","22","36.57688522338867","36.57688522338867","36.57688522338867","22","22","22","33.69164848327637","33.31800079345703","34.0652961730957","22","22","22","31.715553283691406","31.715553283691406","31.715553283691406"
"23","23","23","23","36.3710823059082","36.3710823059082","36.3710823059082","23","23","23","34.183624267578125","34.113250732421875","34.253997802734375","23","23","23","32.17111587524414","32.17111587524414","32.17111587524414"
"24","24","24","24","37.79771423339844","37.79771423339844","37.79771423339844","24","24","24","34.5903205871582","34.43000030517578","34.750640869140625","24","24","24","32.35094451904297","32.35094451904297","32.35094451904297"
"25","25","25","25","37.37411880493164","37.37411880493164","37.37411880493164","25","25","25","34.72122573852539","34.49799728393555","34.944454193115234","25","25","25","32.6986083984375","32.6986083984375","32.6986083984375"
"26","26","26","26","37.4680290222168","37.4680290222168","37.4680290222168","26","26","26","34.55831718444824","34.36399841308594","34.75263595581055","26","26","26","32.67463302612305","32.67463302612305","32.67463302612305"
"27","27","27","27","38.445091247558594","38.445091247558594","38.445091247558594","27","27","27","35.26502227783203","35.1619987487793","35.368045806884766","27","27","27","33.052268981933594","33.052268981933594","33.052268981933594"
"28","28","28","28","37.9715461730957","37.9715461730957","37.9715461730957","14","0","28","35.50197219848633","35.471946716308594","35.53199768066406","28","28","28","33.10621643066406","33.10621643066406","33.10621643066406"
"29","29","29","29","38.76678466796875","38.76678466796875","38.76678466796875","15","1","29","35.77668571472168","35.481998443603516","36.071372985839844","29","29","29","33.73760986328125","33.73760986328125","33.73760986328125"
"30","30","30","30","38.60493850708008","38.60493850708008","38.60493850708008","16","2","30","35.59774398803711","35.24599838256836","35.94948959350586","30","30","30","34.02533721923828","34.02533721923828","34.02533721923828"
"31","31","31","31","39.18038558959961","39.18038558959961","39.18038558959961","17","3","31","36.39951133728027","36.365997314453125","36.43302536010742","31","31","31","33.681663513183594","33.681663513183594","33.681663513183594"
"32","32","32","32","39.138427734375","39.138427734375","39.138427734375","18","4","32","36.51831817626953","36.20000076293945","36.83663558959961","32","32","32","34.253116607666016","34.253116607666016","34.253116607666016"
"33","33","33","33","39.40616989135742","39.40616989135742","39.40616989135742","19","5","33","36.62247657775879","36.50495529174805","36.73999786376953","33","33","33","34.598785400390625","34.598785400390625","34.598785400390625"
"34","34","34","34","39.8877067565918","39.8877067565918","39.8877067565918","20","6","34","36.70429611206055","36.5260009765625","36.882591247558594","34","34","34","34.59279251098633","34.59279251098633","34.59279251098633"
"35","35","35","35","39.87971496582031","39.87971496582031","39.87971496582031","21","7","35","37.32208442687988","37.31800079345703","37.326168060302734","35","35","35","34.894500732421875","34.894500732421875","34.894500732421875"
"36","36","36","36","40.33527755737305","40.33527755737305","40.33527755737305","22","8","36","37.01428985595703","36.892581939697266","37.1359977722168","36","36","36","34.55083084106445","34.55083084106445","34.55083084106445"
"37","37","37","37","40.38123321533203","40.38123321533203","40.38123321533203","23","9","37","37.59797668457031","37.54995346069336","37.645999908447266","37","37","37","35.186222076416016","35.186222076416016","35.186222076416016"
"38","38","38","38","40.58503723144531","40.58503723144531","40.58503723144531","24","10","38","37.95271873474121","37.81800079345703","38.08743667602539","38","38","38","35.55586624145508","35.55586624145508","35.55586624145508"
"39","39","39","39","40.64098358154297","40.64098358154297","40.64098358154297","25","11","39","38.34963035583496","38.26726150512695","38.43199920654297","39","39","39","35.91352462768555","35.91352462768555","35.91352462768555"
"40","40","40","40","40.8148193359375","40.8148193359375","40.8148193359375","26","12","40","38.496477127075195","38.402000427246094","38.5909538269043","40","40","40","36.013427734375","36.013427734375","36.013427734375"
"41","41","41","41","41.4122428894043","41.4122428894043","41.4122428894043","27","13","41","38.68935203552246","38.529998779296875","38.84870529174805","41","41","41","36.381072998046875","36.381072998046875","36.381072998046875"
"42","42","42","42","42.33935546875","42.33935546875","42.33935546875","28","14","42","39.057212829589844","38.9739990234375","39.14042663574219","42","42","42","37.03844451904297","37.03844451904297","37.03844451904297"
"43","43","43","43","41.85581970214844","41.85581970214844","41.85581970214844","29","15","43","39.19210433959961","39.02000045776367","39.36420822143555","43","43","43","37.288204193115234","37.288204193115234","37.288204193115234"
"44","44","44","44","42.361331939697266","42.361331939697266","42.361331939697266","30","16","44","39.83087921142578","39.82600021362305","39.835758209228516","44","44","44","37.356136322021484","37.356136322021484","37.356136322021484"
"45","45","45","45","42.1875","42.1875","42.1875","31","17","45","39.857643127441406","39.391998291015625","40.32328796386719","45","45","45","37.38211441040039","37.38211441040039","37.38211441040039"
"46","46","46","46","42.66703796386719","42.66703796386719","42.66703796386719","32","18","46","40.215667724609375","40.15599822998047","40.27533721923828","46","46","46","37.7717399597168","37.7717399597168","37.7717399597168"
"47","47","47","47","43.08064270019531","43.08064270019531","43.08064270019531","33","19","47","40.58631706237793","40.16999816894531","41.00263595581055","47","47","47","38.20332336425781","38.20332336425781","38.20332336425781"
"48","48","48","48","43.74000930786133","43.74000930786133","43.74000930786133","34","20","48","40.61862564086914","40.363250732421875","40.874000549316406","48","48","48","38.44908905029297","38.44908905029297","38.44908905029297"
"49","49","49","49","44.063697814941406","44.063697814941406","44.063697814941406","35","21","49","40.84631538391113","40.683998107910156","41.00863265991211","49","49","49","39.22834014892578","39.22834014892578","39.22834014892578"
"50","50","50","50","44.12364196777344","44.12364196777344","44.12364196777344","36","22","50","41.08721351623535","40.95399856567383","41.220428466796875","50","50","50","39.24232864379883","39.24232864379883","39.24232864379883"
"51","51","51","51","44.30946350097656","44.30946350097656","44.30946350097656","37","23","51","41.467037200927734","41.34600067138672","41.58807373046875","51","51","51","39.38418960571289","39.38418960571289","39.38418960571289"
"52","52","52","52","44.15960693359375","44.15960693359375","44.15960693359375","38","24","52","42.1058464050293","41.985694885253906","42.22599792480469","52","52","52","39.42215347290039","39.42215347290039","39.42215347290039"
"53","53","53","53","44.79499816894531","44.79499816894531","44.79499816894531","39","25","53","42.4305534362793","42.26799774169922","42.593109130859375","53","53","53","40.109493255615234","40.109493255615234","40.109493255615234"
"54","54","54","54","45.33647537231445","45.33647537231445","45.33647537231445","40","26","54","42.538543701171875","42.459999084472656","42.617088317871094","54","54","54","40.21539306640625","40.21539306640625","40.21539306640625"
"55","55","55","55","45.664161682128906","45.664161682128906","45.664161682128906","41","27","55","43.01822853088379","42.76599884033203","43.27045822143555","55","55","55","41.04859161376953","41.04859161376953","41.04859161376953"
"56","56","56","56","46.075767517089844","46.075767517089844","46.075767517089844","42","28","56","43.08915710449219","42.757999420166016","43.42031478881836","56","56","56","40.88475036621094","40.88475036621094","40.88475036621094"
"57","57","57","57","46.24560546875","46.24560546875","46.24560546875","43","29","57","43.50303077697754","43.321998596191406","43.68406295776367","57","57","57","41.10853576660156","41.10853576660156","41.10853576660156"
"58","58","58","58","46.537322998046875","46.537322998046875","46.537322998046875","44","30","58","43.993825912475586","43.874000549316406","44.113651275634766","58","58","58","41.74592208862305","41.74592208862305","41.74592208862305"
"59","59","59","59","47.098785400390625","47.098785400390625","47.098785400390625","45","31","59","44.20173263549805","44.099998474121094","44.303466796875","59","59","59","41.82984161376953","41.82984161376953","41.82984161376953"
"60","60","60","60","47.216670989990234","47.216670989990234","47.216670989990234","46","32","60","44.82341957092285","44.69199752807617","44.95484161376953","60","60","60","42.1875","42.1875","42.1875"
"61","61","61","61","47.4664306640625","47.4664306640625","47.4664306640625","47","33","61","44.966386795043945","44.90599822998047","45.02677536010742","61","61","61","42.64905548095703","42.64905548095703","42.64905548095703"
"62","62","62","62","48.14377975463867","48.14377975463867","48.14377975463867","48","34","62","45.27132606506348","45.152652740478516","45.38999938964844","62","62","62","42.361331939697266","42.361331939697266","42.361331939697266"
"63","63","63","63","48.17774963378906","48.17774963378906","48.17774963378906","49","35","63","45.6651554107666","45.510311126708984","45.81999969482422","63","63","63","43.28844451904297","43.28844451904297","43.28844451904297"
"64","64","64","64","48.994964599609375","48.994964599609375","48.994964599609375","50","36","64","46.07190132141113","46.037803649902344","46.10599899291992","64","64","64","43.40433120727539","43.40433120727539","43.40433120727539"
"65","65","65","65","49.160804748535156","49.160804748535156","49.160804748535156","51","37","65","46.44170379638672","46.433998107910156","46.44940948486328","65","65","65","43.5921516418457","43.5921516418457","43.5921516418457"
"66","66","66","66","49.3326416015625","49.3326416015625","49.3326416015625","52","38","66","46.77150917053223","46.6879997253418","46.855018615722656","66","66","66","44.18558120727539","44.18558120727539","44.18558120727539"
"67","67","67","67","49.54643630981445","49.54643630981445","49.54643630981445","53","39","67","47.129302978515625","46.9739990234375","47.28460693359375","67","67","67","45.09870529174805","45.09870529174805","45.09870529174805"
"68","68","68","68","50.37164306640625","50.37164306640625","50.37164306640625","54","40","68","47.3852481842041","47.37199783325195","47.39849853515625","68","68","68","45.15864562988281","45.15864562988281","45.15864562988281"
"69","69","69","69","50.427589416503906","50.427589416503906","50.427589416503906","55","41","69","47.89798355102539","47.84600067138672","47.94996643066406","69","69","69","45.32249069213867","45.32249069213867","45.32249069213867"
"70","70","70","70","50.76726150512695","50.76726150512695","50.76726150512695","56","42","70","48.4686336517334","48.25600051879883","48.68126678466797","70","70","70","45.65217208862305","45.65217208862305","45.65217208862305"
"71","71","71","71","50.89913558959961","50.89913558959961","50.89913558959961","57","43","71","48.55158233642578","48.317996978759766","48.7851676940918","71","71","71","46.23361587524414","46.23361587524414","46.23361587524414"
"72","72","72","72","51.65441131591797","51.65441131591797","51.65441131591797","58","44","72","48.83651351928711","48.74399948120117","48.92902755737305","72","72","72","46.599266052246094","46.599266052246094","46.599266052246094"
"73","73","73","73","51.96611022949219","51.96611022949219","51.96611022949219","59","45","73","49.478187561035156","49.349998474121094","49.60637664794922","73","73","73","46.92694854736328","46.92694854736328","46.92694854736328"
"74","74","74","74","52.29179763793945","52.29179763793945","52.29179763793945","60","46","74","49.79410743713379","49.772216796875","49.81599807739258","74","74","74","47.1467399597168","47.1467399597168","47.1467399597168"
"75","75","75","75","52.21786880493164","52.21786880493164","52.21786880493164","61","47","75","50.107906341552734","50.02399826049805","50.19181442260742","75","75","75","47.622283935546875","47.622283935546875","47.622283935546875"
"76","76","76","76","52.84526824951172","52.84526824951172","52.84526824951172","62","48","76","50.64168739318848","50.6359977722168","50.647377014160156","76","76","76","48.02789306640625","48.02789306640625","48.02789306640625"
"77","77","77","77","53.19493103027344","53.19493103027344","53.19493103027344","63","49","77","50.9614200592041","50.71799850463867","51.20484161376953","77","77","77","48.53940200805664","48.53940200805664","48.53940200805664"
"78","78","78","78","53.1629638671875","53.1629638671875","53.1629638671875","64","50","78","51.317352294921875","51.28799819946289","51.34670639038086","78","78","78","48.90105438232422","48.90105438232422","48.90105438232422"
"79","79","79","79","53.8363151550293","53.8363151550293","53.8363151550293","65","51","79","51.69720458984375","51.656410217285156","51.737998962402344","79","79","79","49.09486770629883","49.09486770629883","49.09486770629883"
"80","80","80","80","54.04011917114258","54.04011917114258","54.04011917114258","66","52","80","52.03407096862793","51.93614196777344","52.13199996948242","80","80","80","49.4145622253418","49.4145622253418","49.4145622253418"
"81","0","0","0","54.31785583496094","54.31785583496094","54.31785583496094","67","53","81","52.2399787902832","52.12595748901367","52.354000091552734","81","81","81","49.8801155090332","49.8801155090332","49.8801155090332"
"82","1","1","1","54.66152572631836","54.66152572631836","54.66152572631836","68","54","82","52.66567802429199","52.58199691772461","52.749359130859375","82","82","82","50.5474739074707","50.5474739074707","50.5474739074707"
"83","2","2","2","54.707481384277344","54.707481384277344","54.707481384277344","69","55","83","53.03952217102051","53","53.079044342041016","83","83","83","50.45356369018555","50.45356369018555","50.45356369018555"
"84","3","3","3","55.22098922729492","55.22098922729492","55.22098922729492","70","56","84","53.31436538696289","53.2239990234375","53.40473175048828","84","84","84","51.132911682128906","51.132911682128906","51.132911682128906"
"85","4","4","4","55.53068923950195","55.53068923950195","55.53068923950195","71","57","85","53.69024085998535","53.660484313964844","53.71999740600586","85","85","85","51.20084762573242","51.20084762573242","51.20084762573242"
"86","5","5","5","55.58663558959961","55.58663558959961","55.58663558959961","72","58","86","54.07602119445801","54.03199768066406","54.12004470825195","86","86","86","51.69037628173828","51.69037628173828","51.69037628173828"
"87","6","6","6","55.896339416503906","55.896339416503906","55.896339416503906","73","59","87","54.29888343811035","54.189998626708984","54.40776824951172","87","87","87","51.88219451904297","51.88219451904297","51.88219451904297"
"88","7","7","7","56.29195785522461","56.29195785522461","56.29195785522461","74","60","88","54.52488899230957","54.39777755737305","54.652000427246094","88","88","88","51.9960823059082","51.9960823059082","51.9960823059082"
"89","8","8","8","56.09415054321289","56.09415054321289","56.09415054321289","75","61","89","54.78764343261719","54.66999816894531","54.90528869628906","89","89","89","52.453643798828125","52.453643798828125","52.453643798828125"
"90","9","9","9","56.305946350097656","56.305946350097656","56.305946350097656","76","62","90","55.094526290893555","55.0359992980957","55.153053283691406","90","90","90","52.81929397583008","52.81929397583008","52.81929397583008"
"91","10","10","10","56.267982482910156","56.267982482910156","56.267982482910156","77","63","91","55.31646919250488","55.270938873291016","55.36199951171875","91","91","91","52.977142333984375","52.977142333984375","52.977142333984375"
"92","11","11","11","56.62763595581055","56.62763595581055","56.62763595581055","78","64","92","55.48040962219238","55.396820068359375","55.56399917602539","92","92","92","53.31881332397461","53.31881332397461","53.31881332397461"
"93","12","12","12","56.70156478881836","56.70156478881836","56.70156478881836","79","65","93","55.73624038696289","55.727996826171875","55.744483947753906","93","93","93","53.526615142822266","53.526615142822266","53.526615142822266"
"94","13","13","13","56.955322265625","56.955322265625","56.955322265625","80","66","94","55.85222625732422","55.7784538269043","55.92599868774414","94","94","94","53.57656478881836","53.57656478881836","53.57656478881836"
"95","14","14","14","56.81545639038086","56.81545639038086","56.81545639038086","81","67","95","55.98613739013672","55.962276458740234","56.0099983215332","95","95","95","53.964195251464844","53.964195251464844","53.964195251464844"
"96","15","15","15","56.99128723144531","56.99128723144531","56.99128723144531","82","68","96","56.09000778198242","55.94599914550781","56.23401641845703","96","96","96","54.144020080566406","54.144020080566406","54.144020080566406"
"97","16","16","16","56.88539123535156","56.88539123535156","56.88539123535156","83","69","97","56.08505439758301","56.0359992980957","56.13410949707031","97","97","97","54.09007263183594","54.09007263183594","54.09007263183594"
"98","17","17","17","57.13914489746094","57.13914489746094","57.13914489746094","84","70","98","56.3239860534668","56.279972076416016","56.36800003051758","98","98","98","54.221946716308594","54.221946716308594","54.221946716308594"
"99","18","18","18","57.099185943603516","57.099185943603516","57.099185943603516","85","71","99","56.45486640930176","56.38399887084961","56.525733947753906","99","99","99","54.365806579589844","54.365806579589844","54.365806579589844"
"100","19","19","19","56.98129653930664","56.98129653930664","56.98129653930664","86","72","100","56.304954528808594","56.26799774169922","56.34191131591797","100","100","100","54.35981369018555","54.35981369018555","54.35981369018555"
"101","20","20","20","56.93334197998047","56.93334197998047","56.93334197998047","87","73","101","56.34996223449707","56.325927734375","56.37399673461914","101","101","101","54.555625915527344","54.555625915527344","54.555625915527344"
"102","21","21","21","57.023258209228516","57.023258209228516","57.023258209228516","88","74","102","56.330955505371094","56.323997497558594","56.337913513183594","102","102","102","54.335838317871094","54.335838317871094","54.335838317871094"
"103","22","22","22","56.985294342041016","56.985294342041016","56.985294342041016","89","75","103","56.33396339416504","56.32392883300781","56.343997955322266","103","103","103","54.717472076416016","54.717472076416016","54.717472076416016"
"104","23","23","23","56.7595100402832","56.7595100402832","56.7595100402832","90","76","104","56.24002647399902","56.192054748535156","56.28799819946289","104","104","104","54.43374252319336","54.43374252319336","54.43374252319336"
"105","24","24","24","56.69557189941406","56.69557189941406","56.69557189941406","91","77","105","56.3479118347168","56.263999938964844","56.43182373046875","105","105","105","54.42974853515625","54.42974853515625","54.42974853515625"
"106","25","25","25","56.68558120727539","56.68558120727539","56.68558120727539","92","78","106","56.27998161315918","56.27399826049805","56.28596496582031","106","106","106","54.48768997192383","54.48768997192383","54.48768997192383"
"107","26","26","26","56.65960693359375","56.65960693359375","56.65960693359375","93","79","107","56.17606163024902","56.118125915527344","56.2339973449707","107","107","107","54.43973922729492","54.43973922729492","54.43973922729492"
"108","27","27","27","56.69557189941406","56.69557189941406","56.69557189941406","94","80","108","56.31293296813965","56.24199676513672","56.38386917114258","108","108","108","54.23393630981445","54.23393630981445","54.23393630981445"
"109","28","28","28","56.57368850708008","56.57368850708008","56.57368850708008","40.5","0","81","56.21493721008301","56.04999923706055","56.37987518310547","109","109","109","54.345829010009766","54.345829010009766","54.345829010009766"